"","ExpCost_prior","opt_action_prior","ExpCost_prepost","opt_action_prepost","Exp_VoPI","sampling_method","n_samples","id","method"
"1",5266.88630090232,"No action",3.96494523416548e-11,"No action",5266.88630090228,"MC",10,1,"Monte Carlo (MC)"
"2",8909.1735670954,"No action",3.96494523416548e-11,"No action",8909.17356709536,"MC",31.6227766016838,2,"Monte Carlo (MC)"
"3",5045.80068744977,"No action",3.96494523416548e-11,"No action",5045.80068744973,"MC",100,3,"Monte Carlo (MC)"
"4",3839.38818046215,"No action",5.3325468895206e-19,"No action",3839.38818046215,"MC",316.227766016838,4,"Monte Carlo (MC)"
"5",3640.84555936094,"No action",5.3325468895206e-19,"No action",3640.84555936094,"MC",1000,5,"Monte Carlo (MC)"
"6",3216.06081997726,"No action",5.63968249276402e-26,"No action",3216.06081997726,"MC",3162.27766016838,6,"Monte Carlo (MC)"
"7",3488.77185855733,"No action",5.05898909369659e-30,"No action",3488.77185855733,"MC",10000,7,"Monte Carlo (MC)"
"8",3643.71094599644,"No action",5.05898909369659e-30,"No action",3643.71094599644,"MC",31622.7766016838,8,"Monte Carlo (MC)"
"9",3720.19586763739,"No action",4.9874278774353e-32,"No action",3720.19586763739,"MC",1e+05,9,"Monte Carlo (MC)"
"10",2892.9471107152,"No action",5.27242782001371e-10,"No action",2892.94711071467,"LHS",10,1,"Latin Hypercube Sampling (LHS)"
"11",3750.99394035287,"No action",6.77807342938911e-10,"No action",3750.99394035219,"LHS",31.6227766016838,2,"Latin Hypercube Sampling (LHS)"
"12",3537.25193901483,"No action",3.04903823123862e-20,"No action",3537.25193901483,"LHS",100,3,"Latin Hypercube Sampling (LHS)"
"13",3693.95306989566,"No action",1.53991006204751e-30,"No action",3693.95306989566,"LHS",316.227766016838,4,"Latin Hypercube Sampling (LHS)"
"14",3674.89706768445,"No action",3.83492846677111e-22,"No action",3674.89706768445,"LHS",1000,5,"Latin Hypercube Sampling (LHS)"
"15",3681.72371225419,"No action",3.5955691972519e-23,"No action",3681.72371225419,"LHS",3162.27766016838,6,"Latin Hypercube Sampling (LHS)"
"16",3681.86308159134,"No action",4.57195161174926e-35,"No action",3681.86308159134,"LHS",10000,7,"Latin Hypercube Sampling (LHS)"
"17",3681.93885050153,"No action",4.48240129444672e-32,"No action",3681.93885050153,"LHS",31622.7766016838,8,"Latin Hypercube Sampling (LHS)"
"18",3681.90763022878,"No action",7.6931364514259e-33,"No action",3681.90763022878,"LHS",1e+05,9,"Latin Hypercube Sampling (LHS)"
"19",3514.46902500391,"No action",3.96494523416548e-11,"No action",3514.46902500387,"IS",10,1,"Importance Sampling (IS)"
"20",3574.38564228913,"No action",3.96494523416548e-11,"No action",3574.38564228909,"IS",31.6227766016838,2,"Importance Sampling (IS)"
"21",3661.23204104789,"No action",3.96494523416548e-11,"No action",3661.23204104785,"IS",100,3,"Importance Sampling (IS)"
"22",3709.75778649271,"No action",5.3325468895206e-19,"No action",3709.75778649271,"IS",316.227766016838,4,"Importance Sampling (IS)"
"23",3678.10407996682,"No action",5.3325468895206e-19,"No action",3678.10407996682,"IS",1000,5,"Importance Sampling (IS)"
"24",3668.15667159606,"No action",5.63968249276402e-26,"No action",3668.15667159606,"IS",3162.27766016838,6,"Importance Sampling (IS)"
"25",3697.06529089895,"No action",5.05898909369659e-30,"No action",3697.06529089895,"IS",10000,7,"Importance Sampling (IS)"
"26",3682.01571783957,"No action",5.05898909369659e-30,"No action",3682.01571783957,"IS",31622.7766016838,8,"Importance Sampling (IS)"
"27",3680.32838677655,"No action",4.9874278774353e-32,"No action",3680.32838677655,"IS",1e+05,9,"Importance Sampling (IS)"
"28",3635.68049960362,"No action",5.27242782001371e-10,"No action",3635.68049960309,"IS+LHS",10,1,"IS with LHS (IS + LHS)"
"29",3654.35582708146,"No action",6.77807342938911e-10,"No action",3654.35582708078,"IS+LHS",31.6227766016838,2,"IS with LHS (IS + LHS)"
"30",3654.18103352251,"No action",3.04903823123862e-20,"No action",3654.18103352251,"IS+LHS",100,3,"IS with LHS (IS + LHS)"
"31",3667.38267463489,"No action",1.53991006204751e-30,"No action",3667.38267463489,"IS+LHS",316.227766016838,4,"IS with LHS (IS + LHS)"
"32",3683.50065756324,"No action",3.83492846677111e-22,"No action",3683.50065756324,"IS+LHS",1000,5,"IS with LHS (IS + LHS)"
"33",3681.57161713276,"No action",3.5955691972519e-23,"No action",3681.57161713276,"IS+LHS",3162.27766016838,6,"IS with LHS (IS + LHS)"
"34",3679.32998250207,"No action",4.57195161174926e-35,"No action",3679.32998250207,"IS+LHS",10000,7,"IS with LHS (IS + LHS)"
"35",3680.46566809431,"No action",4.48240129444672e-32,"No action",3680.46566809431,"IS+LHS",31622.7766016838,8,"IS with LHS (IS + LHS)"
"36",3681.24486094149,"No action",7.6931364514259e-33,"No action",3681.24486094149,"IS+LHS",1e+05,9,"IS with LHS (IS + LHS)"
